Company,Fuel_Type,CC,HP,Speed,Acceleration,Price,Torque,Seats,Price_Log,Torque_Log,CC_Scaled,HP_Scaled,Speed_Scaled,Acceleration_Scaled
ASTON MARTIN,Petrol,5204.0,600.0,322.0,3.9,208000.0,700.0,4.0,12.245298166364206,6.55250788703459,1.2626202894143908,1.3141097364242997,1.9910361231575715,-1.111916827010001
ASTON MARTIN,Petrol,3996.0,503.0,313.0,3.6,142000.0,685.0,2.0,11.863589378812122,6.530877627725885,0.627685679704455,0.8783816297291004,1.821258689513969,-1.2027492661481776
ASTON MARTIN,Petrol,3996.0,542.0,291.0,4.5,189000.0,700.0,5.0,12.149507585033072,6.55250788703459,0.627685679704455,1.053571280874593,1.40624718505183,-0.9302519487336482
ASTON MARTIN,Petrol,5935.0,580.0,328.0,4.2,240000.0,630.0,4.0,12.388398368982115,6.447305862541213,1.6468398255882013,1.2242688896830216,2.104221078919973,-1.0210843878718245
ASTON MARTIN,Petrol,5935.0,580.0,324.0,3.6,294000.0,630.0,2.0,12.591338447675579,6.447305862541213,1.6468398255882013,1.2242688896830216,2.0287644417450386,-1.2027492661481776
ASTON MARTIN,Petrol,5935.0,540.0,314.0,4.2,1100000.0,630.0,4.0,13.910821646859095,6.447305862541213,1.6468398255882013,1.0445871962004651,1.8401228488077026,-1.0210843878718245
ASTON MARTIN,Petrol,5204.0,836.0,320.0,2.8,1300000.0,821.0,2.0,14.077875591662238,6.71174039505618,1.2626202894143908,2.374231727971383,1.9533078045701042,-1.4449691038499815
LAMBORGHINI,Hybrid,6498.0,819.0,350.0,2.8,2800000.0,720.0,2.0,14.845130332288226,6.580639137284949,1.942757197497716,2.297867008241296,2.519232583382112,-1.4449691038499815
LAMBORGHINI,Petrol,6498.0,759.0,350.0,2.8,518000.0,720.0,2.0,13.157732451741687,6.580639137284949,1.942757197497716,2.028344468017462,2.519232583382112,-1.4449691038499815
LAMBORGHINI,Petrol,5204.0,640.0,325.0,2.9,274000.0,600.0,2.0,12.520887034998584,6.398594934535208,1.2626202894143908,1.4937914299068562,2.047628601038772,-1.4146916241372558
LAMBORGHINI,Petrol,5204.0,640.0,325.0,2.9,261000.0,600.0,2.0,12.472279517715116,6.398594934535208,1.2626202894143908,1.4937914299068562,2.047628601038772,-1.4146916241372558
LAMBORGHINI,Petrol,6498.0,740.0,350.0,2.8,493000.0,690.0,2.0,13.108266481420335,6.53813982376767,1.942757197497716,1.9429956636132475,2.519232583382112,-1.4449691038499815
LAMBORGHINI,Petrol,3996.0,641.0,305.0,3.6,211000.0,850.0,5.0,12.259618151783465,6.7464121285733745,0.627685679704455,1.4982834722439202,1.6703454151641004,-1.2027492661481776
LAMBORGHINI,Petrol,5204.0,610.0,325.0,3.4,287000.0,600.0,2.0,12.567240979056246,6.398594934535208,1.2626202894143908,1.3590301597949388,2.047628601038772,-1.2633042255736284
LAMBORGHINI,Petrol,6498.0,700.0,350.0,3.0,445000.0,690.0,2.0,13.005831808336863,6.53813982376767,1.942757197497716,1.763313970130691,2.519232583382112,-1.3844141444245304
LAMBORGHINI,Petrol,5204.0,640.0,325.0,3.1,308000.0,600.0,2.0,12.637858308703688,6.398594934535208,1.2626202894143908,1.4937914299068562,2.047628601038772,-1.354136664711805
LAMBORGHINI,Petrol,6498.0,740.0,350.0,2.9,421000.0,690.0,2.0,12.95039048795861,6.53813982376767,1.942757197497716,1.9429956636132475,2.519232583382112,-1.4146916241372558
LAMBORGHINI,Petrol,5204.0,640.0,325.0,3.1,287000.0,600.0,2.0,12.567240979056246,6.398594934535208,1.2626202894143908,1.4937914299068562,2.047628601038772,-1.354136664711805
